"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Stroke (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:23:31",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
62,0.00113,0.0261731534,0,0.0002320847,0.0017927692,0.0184647115,6.1384E-06,0.0139614731,16.8149093571,0.0002578226,3.2511327094,62.5
63,0.001273913,0.029497167,0,0.0002806427,0.0019598392,0.0204807854,6.1382E-06,0.0141789395,16.1492322381,0.0002904276,3.0941661934,63.5
64,0.0014178261,0.0330538981,0,0.0003292006,0.0021463951,0.0226768457,6.1382E-06,0.0145644446,15.4836270728,0.0003303124,2.9703682496,64.5
65,0.0015617391,0.0368150195,0,0.0003777586,0.0023524367,0.0250663687,6.1382E-06,0.0151179885,14.8202888073,0.0003789963,2.8714909012,65.5
66,0.0017056522,0.0407429997,0,0.0004263166,0.0025576999,0.0276520213,6.1382E-06,0.0157883367,14.1608596034,0.0004366304,2.7848022899,66.5
67,0.0018495652,0.0447921896,0,0.0004748746,0.0027621847,0.0304252203,6.1382E-06,0.0165754893,13.506504733,0.0005043729,2.7059469756,67.5
68,0.0019934783,0.0489107048,0,0.0005768984,0.002965891,0.0333755076,6.1382E-06,0.0174794464,12.8583226076,0.0005834559,2.6316903241,68.5
69,0.0021373913,0.0530429662,0,0.0006789223,0.003168819,0.0364904653,6.1381E-06,0.0185002078,12.2172792359,0.0006751639,2.5609923676,69.5
70,0.0022813043,0.057132651,0,0.0007809462,0.0033709685,0.0397556611,0.000006138,0.0196377737,11.5841239116,0.0007808095,2.4934336093,70.5
71,0.0024252174,0.0611257281,0,0.00088297,0.0035665774,0.0431474174,0.000006138,0.0211116718,10.9605345564,0.0009110285,2.4437545376,71.5
72,0.0025691304,0.0649732351,0,0.0009849939,0.0037556457,0.0466314874,6.1379E-06,0.0229219022,10.3489333755,0.0010690181,2.4072077034,72.5
