"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Males, Disease: CHD (Rates * ), sex: Males",,,,,,,,,,,,
"Written 04/06/2016, 16:57:22",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
88,0.0183599297,0.1671424435,0,0.0276437103,0.022038712,0.1780097077,6.1417E-06,0.1555366392,2.7725589535,0.0276729395,2.1448726713,88.5
89,0.0190888407,0.1693696725,0,0.0310015541,0.0229802235,0.1704906892,6.1417E-06,0.182013421,2.483089933,0.0310052735,2.4468744668,89.5
90,0.0197222808,0.1715969015,0,0.0345779279,0.0238183254,0.160420179,6.1415E-06,0.2155601977,2.2112527739,0.0345325051,2.2869156214,90.5
91,0.0202405724,0.1738241305,0,0.0378721744,0.0245226254,0.1476351603,6.1417E-06,0.2562208502,1.9963239905,0.0377460756,2.4065392649,91.5
92,0.020624038,0.1760513595,0,0.0389802438,0.02505788,0.1329969317,6.1414E-06,0.2922638151,1.8033560472,0.0387623107,2.4769793142,92.5
93,0.020853,0.1782785885,0,0.0391899885,0.0253851575,0.1178189436,6.1414E-06,0.3311685852,1.6217746576,0.0388831457,2.5425961016,93.5
94,0.0209183179,0.1782785885,0,0.0387331864,0.0254731591,0.1028036684,6.1417E-06,0.3746461771,1.4444858991,0.0383522555,2.6106702999,94.5
95,0.0208908841,0.1782785885,0,0.0387331864,0.0254395673,0.0881053146,6.1417E-06,0.436843477,1.268607204,0.0382706763,2.7358394994,95.5
96,0.0208908841,0.1782785885,0,0.0387331864,0.0254412971,0.0736110637,6.1413E-06,0.5229321467,1.0969944242,0.038187912,2.9234536413,96.5
97,0.0208908841,0.1782785885,0,0.0387331864,0.0254452778,0.0594284717,6.1411E-06,0.6489429254,0.9353700168,0.0381044449,3.2130352188,97.5
98,0.0208908841,0.1782785885,0,0.0387331864,0.0254462999,0.0456092257,6.1414E-06,0.8506270151,0.8122844345,0.0380212138,3.6940000001,98.5
99,0.0208908841,0.1782785885,0,0.0387331864,0.0301830917,0.0357012186,6.1413E-06,0.9999999999,0.7581532603,0.0352678242,3.9464840555,99.5
100,0.0208908841,0.1782785885,0,0.0387331864,0.0340122379,0.0329787509,6.1415E-06,0.9999999999,0.7512756947,0.0330565128,3.7463499665,102.2463250783
,,,,,,,,,,,,
All ages,NA,0.0341276711,NA,0.0017064847,0.0024795971,0.0386785742,6.1419E-06,0.0441156652,11.8579012337,0.0017053782,2.758347505,66.5332389929
