"age","sex","qimd","year","pop"
18,"2","1","2002",58093.5999999999
19,"2","1","2002",58093.6000000001
20,"2","1","2002",44597
21,"2","1","2002",44597
22,"2","1","2002",44597
23,"2","1","2002",44597
24,"2","1","2002",44597
25,"2","1","2002",49105.6000000001
26,"2","1","2002",49105.5999999999
27,"2","1","2002",49105.6000000001
28,"2","1","2002",49105.5999999999
29,"2","1","2002",49105.6000000001
30,"2","1","2002",69221.2
31,"2","1","2002",69221.2
32,"2","1","2002",69221.2000000002
33,"2","1","2002",69221.2
34,"2","1","2002",69221.2
35,"2","1","2002",83137.3999999999
36,"2","1","2002",83137.3999999999
37,"2","1","2002",83137.4000000004
38,"2","1","2002",83137.3999999999
39,"2","1","2002",83137.3999999999
40,"2","1","2002",79472.1999999997
41,"2","1","2002",79472.2000000002
42,"2","1","2002",79472.2000000002
43,"2","1","2002",79472.1999999997
44,"2","1","2002",79472.2000000002
45,"2","1","2002",71547
46,"2","1","2002",71547
47,"2","1","2002",71547
48,"2","1","2002",71547
49,"2","1","2002",71547
50,"2","1","2002",75151.6000000001
51,"2","1","2002",75151.5999999996
52,"2","1","2002",75151.6000000001
53,"2","1","2002",75151.6000000001
54,"2","1","2002",75151.6000000001
55,"2","1","2002",71783.7999999998
56,"2","1","2002",71783.8000000003
57,"2","1","2002",71783.7999999998
58,"2","1","2002",71783.8000000003
59,"2","1","2002",71783.7999999998
60,"2","1","2002",52246.3999999999
61,"2","1","2002",52246.3999999999
62,"2","1","2002",52246.4000000004
63,"2","1","2002",52246.3999999999
64,"2","1","2002",52246.3999999999
65,"2","1","2002",47168
66,"2","1","2002",47168
67,"2","1","2002",47168
68,"2","1","2002",47168
69,"2","1","2002",47168
70,"2","1","2002",42468.4000000004
71,"2","1","2002",42468.3999999994
72,"2","1","2002",42468.4000000004
73,"2","1","2002",42468.3999999994
74,"2","1","2002",42468.4000000004
75,"2","1","2002",35706
76,"2","1","2002",35706
77,"2","1","2002",35706
78,"2","1","2002",35706
79,"2","1","2002",35706
80,"2","1","2002",26936.5999999996
81,"2","1","2002",26936.6000000006
82,"2","1","2002",26936.5999999996
83,"2","1","2002",26936.6000000006
84,"2","1","2002",26936.5999999996
85,"2","1","2002",15911.7999999998
86,"2","1","2002",15911.7999999998
87,"2","1","2002",15911.8000000007
88,"2","1","2002",15911.7999999998
89,"2","1","2002",15911.7999999998
90,"2","1","2002",9502
91,"2","1","2002",9502
92,"2","1","2002",9502
93,"2","1","2002",9502
94,"2","1","2002",9502
95,"2","1","2002",9502
96,"2","1","2002",9502
97,"2","1","2002",9502
98,"2","1","2002",9502
99,"2","1","2002",9502
100,"2","1","2002",9502.0577280065
0,"2","2","2002",47465
1,"2","2","2002",51400
2,"2","2","2002",51400
3,"2","2","2002",51400
4,"2","2","2002",51400
5,"2","2","2002",55729
6,"2","2","2002",55729
7,"2","2","2002",55729
8,"2","2","2002",55729
9,"2","2","2002",55729
10,"2","2","2002",60107.2
11,"2","2","2002",60107.2000000001
12,"2","2","2002",60107.2
13,"2","2","2002",60107.2000000001
14,"2","2","2002",60107.2
15,"2","2","2002",56822
16,"2","2","2002",56822
17,"2","2","2002",56822
18,"2","2","2002",56822
