site,sex,Under 1,1­4,5­9,10­14,1519,2024,2529,3034,3539,4044,4549,5054,5559,6064,6569,7074,7579,8084,85 and over
D01          ,1,,,,,1,2,5,6,5,19,23,58,78,224,269,228,142,124,92
D01          ,2,,,,,,4,6,1,15,32,32,54,59,128,162,128,122,106,89
D02          ,1,,,,,,,,2,2,2,9,13,28,42,31,47,31,22,10
D02          ,2,,,,,,,,,6,,8,3,5,9,9,6,8,7,4
D03          ,1,,,,1,6,7,18,44,47,63,84,105,130,249,259,235,244,196,155
D03          ,2,,,,2,3,25,46,61,96,118,134,154,140,244,216,216,178,156,142
D04          ,1,,1,1,,,,2,6,13,33,61,102,170,341,453,590,755,676,629
D04          ,2,,,,,,,4,7,21,48,81,117,188,356,491,753,1010,1062,1413
D05          ,1,,,,,,,,1,2,1,1,1,3,8,1,2,,1,1
D05          ,2,,,,,1,2,18,29,91,212,416,942,701,879,761,317,208,147,92
D06          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D06          ,2,,,,1,36,1150,9998,4474,2767,1711,1039,401,277,185,50,19,11,9,4
D07          ,1,,,,,2,6,4,2,8,11,30,52,123,212,282,192,159,42,21
D07          ,2,,,,,1,16,25,35,84,110,117,96,84,72,49,39,30,27,15
D09          ,1,,,,,,1,5,9,17,29,42,73,137,257,335,399,414,354,228
D09          ,2,,,,,,3,2,7,2,10,6,16,25,64,89,104,109,111,92
D32          ,1,,1,,1,2,3,4,3,7,11,21,32,35,39,39,28,46,35,40
D32          ,2,,,1,2,1,4,8,17,31,61,80,67,79,86,97,84,81,88,153
D33          ,1,1,4,4,8,6,8,7,13,15,25,20,32,18,24,13,14,5,11,6
D33          ,2,3,4,1,4,5,8,16,6,20,24,30,25,25,36,23,17,7,9,9
D35.2        ,1,,,,1,1,4,10,12,11,24,27,13,33,34,42,23,26,13,9
D35.2        ,2,,1,,4,7,9,12,17,20,16,25,22,24,25,16,20,18,14,12
D35.3        ,1,,,,,,,,,,,,,,,,,,,1
D35.3        ,2,,,,,,,,,,,,,,,,,,,
D35.4        ,1,,,,,,,,,,,,,,,,,,,
D35.4        ,2,,,,,,,,,,,,,,,,,,,
D37          ,1,2,1,2,9,11,15,16,12,12,12,22,35,36,128,115,85,81,55,60
D37          ,2,1,,1,10,24,25,19,14,23,35,31,38,42,76,88,83,86,73,96
D38          ,1,,,,,1,1,1,3,1,3,2,4,3,6,8,14,13,11,15
