"DisMod II input and output, database England Wales 2011",,,,,,,,,,,,
"Disease: Gastric cancer (Rates), sex: Males",,,,,,,,,,,,
"Written 25/08/2015, 13:31:08",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
83,0.0011451184,0.0684869104,0.3707292904,0.0008900591,0.0011316196,0.0025089145,0.06564435,0.3520848946,1.9039807137,0.0008843549,5.2017677406,83.5
84,0.00117637,0.0631962446,0.3773350662,0.0009453421,0.0011650791,0.0026050009,0.0602609165,0.3589880313,1.8590904523,0.0009360601,4.716588699,84.5
85,0.0012025429,0.0579055787,0.3841162173,0.0009991359,0.0011944807,0.0026893469,0.0548628843,0.366469611,1.8195741004,0.0009863366,4.3445151836,85.5
86,0.0012240811,0.0526149129,0.3910727438,0.0010500955,0.0012197775,0.0027608127,0.0500221153,0.3740832013,1.7871581624,0.0010334053,4.1033672782,86.5
87,0.0012414282,0.0473242471,0.3982046456,0.0010968759,0.0012409695,0.0028185053,0.0457386097,0.3818288021,1.7595542327,0.001076662,4.0132198521,87.5
88,0.0012550281,0.0420335813,0.4055119228,0.001138165,0.0012580566,0.0028618894,0.0420123674,0.3897064135,1.7270074438,0.0011156026,4.1067947037,88.5
89,0.0012653245,0.0367429154,0.4129945753,0.001173405,0.0012710388,0.0028907105,0.0388433884,0.3977160355,1.6683527925,0.0011498063,4.4519538488,89.5
90,0.0012727611,0.0314522496,0.4206526032,0.001202793,0.0012799162,0.0029049424,0.0362316727,0.405857668,1.6015201124,0.0011789249,3.6625262108,90.5
91,0.0012777818,0.0314522496,0.4273575309,0.0012265588,0.0012866405,0.0029062535,0.0341547022,0.4135375621,1.5522795375,0.0012016211,3.4867901643,91.5
92,0.0012808304,0.0314522496,0.4329339831,0.0012449321,0.0012912117,0.0028974528,0.0326124771,0.4207557177,1.5041730975,0.0012187656,3.3229746694,92.5
93,0.0012823505,0.0314522496,0.4373819598,0.0012581428,0.0012936297,0.0028805116,0.0316049971,0.4275121349,1.4577050716,0.0012309857,3.1706330403,93.5
94,0.0012827572,0.0314522496,0.4407014609,0.0012664207,0.0012938946,0.0028568113,0.0311322625,0.4338068136,1.4137881918,0.0012387333,3.0292646424,94.5
95,0.0012823505,0.0314522496,0.4428924866,0.0012699956,0.0012920063,0.0028273238,0.031194273,0.4396397538,1.3742283505,0.0012423364,2.8983320282,95.5
96,0.0012814014,0.0314522496,0.4469643048,0.0012690016,0.0012899899,0.0027968349,0.0312537062,0.4425780072,1.3402514415,0.0012372094,2.7675583463,96.5
97,0.0012801812,0.0314522496,0.4488866458,0.0012613744,0.0012878453,0.0027724378,0.031310562,0.4426215737,1.3116270558,0.0012266891,2.638503102,97.5
98,0.001278961,0.0314522496,0.446080137,0.0012428515,0.0012855726,0.0027583734,0.0313648404,0.4397704532,1.2885803247,0.00121281,2.5123005721,98.5
99,0.001278012,0.0314522496,0.4415003095,0.0012090742,0.0012831717,0.0027571794,0.0314165414,0.4340246459,1.2721983342,0.0011966775,2.3897372043,99.5
100,0.0012776052,0.0314522496,0.4369204821,0.0011556845,0.0012806426,0.0027705062,0.031465665,0.4253841518,1.2653867591,0.001178763,2.2713170124,102.488531159
,,,,,,,,,,,,
All ages,NA,NA,NA,8.96598E-05,0.0001357553,0.0002905431,0.0958749959,0.3079953318,2.2087960404,8.96555E-05,19.1904833387,72.7037121948
