"DisMod II input and output, database England Wales 2011",,,,,,,,,,,,
"Disease: Gastric cancer (Rates), sex: Females",,,,,,,,,,,,
"Written 25/08/2015, 13:32:50",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
85,0.0005186406,0.0494429743,0.4949411003,0.0004595809,0.0005167695,0.0009646824,0.0494676338,0.4853425858,1.5491132681,0.0004682183,6.903225066,85.5
86,0.0005291817,0.0452263351,0.5071253524,0.0004873794,0.0005287596,0.0009755512,0.0452342658,0.5034084882,1.5086902567,0.0004909551,6.5069623326,86.5
87,0.0005373675,0.0414807608,0.5181385786,0.0005151778,0.000538941,0.0009791732,0.04147351,0.5221790333,1.4784249556,0.0005109941,6.3964426733,87.5
88,0.0005434994,0.0382594195,0.5277560839,0.0005296772,0.0005457975,0.0009783163,0.0382492503,0.5344818859,1.4514687177,0.0005225326,6.5712205266,88.5
89,0.0005478784,0.0356154789,0.5357531736,0.0005441767,0.0005512469,0.0009753324,0.0356016272,0.546394814,1.4093560976,0.0005324951,7.234082132,89.5
90,0.0005508058,0.0336021069,0.5419051529,0.0005586761,0.0005556161,0.0009702224,0.0335837757,0.5577049259,1.3618975839,0.0005406168,5.7574471855,90.5
91,0.0005525827,0.0322697195,0.5459970593,0.0005731756,0.0005591948,0.0009634316,0.0322459887,0.5680381395,1.3270635755,0.0005467397,5.4241535596,91.5
92,0.0005535103,0.0316054384,0.5480377762,0.000587675,0.0005622123,0.0009556841,0.0315752217,0.5770468461,1.2944794408,0.0005509246,5.1129394445,92.5
93,0.0005538897,0.0315330909,0.5482600325,0.0006021745,0.0005648617,0.0009477883,0.03149497,0.5845059041,1.2645469487,0.000553438,4.8219863445,93.5
94,0.0005539823,0.0319737526,0.5469062896,0.0006166739,0.0005672944,0.0009404947,0.031926078,0.5902602422,1.2378197534,0.0005546089,4.5500676244,94.5
95,0.0005538897,0.0328484991,0.544219009,0.0006311734,0.000569516,0.0009343683,0.0327894702,0.5942605748,1.215423048,0.0005547676,4.2965334423,95.5
96,0.0005536737,0.0340784058,0.540440652,0.0006311734,0.0005700202,0.0009306637,0.03401224,0.5922277925,1.1965734789,0.0005507831,4.0388433978,96.5
97,0.0005533958,0.0355845482,0.5358136801,0.0006311734,0.0005703147,0.0009299331,0.0355096895,0.5889381395,1.1790880985,0.0005473657,3.8037002785,97.5
98,0.000553118,0.0372880018,0.5305805547,0.0006311734,0.0005705083,0.0009313008,0.0372032,0.5847599934,1.1633645534,0.0005443316,3.5907835537,98.5
99,0.0005529019,0.0391098421,0.5249837372,0.0006311734,0.0005706828,0.0009341811,0.0390142579,0.5799952946,1.1507906179,0.0005416009,3.3991499014,99.5
100,0.0005528093,0.0409711447,0.5192656889,0.0006311734,0.0005709149,0.0009381749,0.0408636816,0.5749167386,1.1450424424,0.0005391781,3.2275924777,102.488531159
,,,,,,,,,,,,
All ages,NA,NA,NA,4.09226E-05,5.59953E-05,0.000102457,0.117729739,0.3763979898,1.8825713956,3.86335E-05,34.672887443,72.1616146943
