"agegroup","sex","cholval1.usual","Pe","se"
"25-29","1","6.9",0.0079328303125644,0.00795076188219779
"25-29","2","3",0.0118707756773859,0.0117732869393875
"25-29","2","3.1",0.00441803387801174,0.00441482506543349
"25-29","2","3.3",0.00794791613840858,0.00565776947121284
"25-29","2","3.4",0.0107876174813618,0.00777974627853418
"25-29","2","3.5",0.0133920779901503,0.00948606101393294
"25-29","2","3.6",0.0225321183105981,0.0102677828841963
"25-29","2","3.7",0.0154581176249215,0.00769735507986202
"25-29","2","3.8",0.0208052291546264,0.00936081958219384
"25-29","2","3.9",0.0470571769613941,0.0165456550903533
"25-29","2","4",0.0393600780291951,0.0137368430413201
"25-29","2","4.1",0.0519132389506879,0.0164317361468908
"25-29","2","4.2",0.0150248209775266,0.0105451155687959
"25-29","2","4.3",0.00650103932639559,0.00648275192265795
"25-29","2","4.4",0.0666980025320586,0.0209565732301799
"25-29","2","4.5",0.0529195304013407,0.0156608985563895
"25-29","2","4.6",0.0589496608379508,0.0179595047636281
"25-29","2","4.7",0.0630890798067834,0.0197348432280794
"25-29","2","4.8",0.0232499543302899,0.0117171273571873
"25-29","2","4.9",0.0485137648077686,0.0143036184867233
"25-29","2","5",0.057505040414963,0.0183071763103277
"25-29","2","5.1",0.0457244005075982,0.0167281858306868
"25-29","2","5.2",0.0562897651547091,0.0204709005045763
"25-29","2","5.3",0.0327073236370495,0.013108931301137
"25-29","2","5.4",0.0304791980733164,0.0126453898390053
"25-29","2","5.5",0.0356189690781352,0.0166524362058009
"25-29","2","5.6",0.0195258433451814,0.0112263101063818
"25-29","2","5.7",0.0292779846494017,0.0139742904984369
"25-29","2","5.8",0.00856588080555652,0.00609752298866765
"25-29","2","5.9",0.0137719117300575,0.00788830354814207
"25-29","2","6",0.00387785266769121,0.00386299022642774
"25-29","2","6.1",0.021421335106213,0.0110241653914988
"25-29","2","6.2",0.00454022857327801,0.0045363757817838
"25-29","2","6.4",0.0100228960941367,0.00717724876230231
"25-29","2","6.6",0.00623190986492356,0.00621606121577998
"25-29","2","6.8",0.00838923480880342,0.00596753833188209
"25-29","2","7.4",0.00377506223114866,0.00379046690859877
"25-29","2","7.8",0.00373661882897558,0.00377429458833006
"30-34","1","3",0.00679315157793605,0.00679556287623683
"30-34","1","3.3",0.00964147362091674,0.00689272870344573
"30-34","1","3.4",0.00458775534360468,0.00463162140242984
"30-34","1","3.5",0.0266752496824997,0.0139600008160099
"30-34","1","3.6",0.0137962926950503,0.00981061626641769
"30-34","1","3.7",0.0379080523096693,0.016991257871728
"30-34","1","3.9",0.0233178088028477,0.0104836412798396
"30-34","1","4",0.0091500008090019,0.00657634675208586
"30-34","1","4.1",0.0277682556827843,0.0113759954926158
"30-34","1","4.2",0.0139563199708622,0.00797068493429235
"30-34","1","4.3",0.0498256309045582,0.0169999360836632
"30-34","1","4.4",0.0182486739257435,0.0109149134840699
"30-34","1","4.5",0.0341339481870225,0.0144540739941435
